ICD-10,Lab_Item,Original_ICD_Range
L089,Skin lesion bacterial culture,L080–L089
L081,Skin scraping / Wood lamp-supported evaluation,L081
L081,Corynebacterium minutissimum culture if needed,L081
L100,Skin biopsy histopathology,L100–L109
L100,Direct immunofluorescence,L100–L109
L100,Desmoglein 1 antibody,L100–L109
L100,Desmoglein 3 antibody,L100–L109
L101,Skin biopsy histopathology,L100–L109
L101,Direct immunofluorescence,L100–L109
L101,Desmoglein 1 antibody,L100–L109
L101,Desmoglein 3 antibody,L100–L109
L102,Skin biopsy histopathology,L100–L109
L102,Direct immunofluorescence,L100–L109
L102,Desmoglein 1 antibody,L100–L109
L102,Desmoglein 3 antibody,L100–L109
L103,Skin biopsy histopathology,L100–L109
L103,Direct immunofluorescence,L100–L109
L103,Desmoglein 1 antibody,L100–L109
L103,Desmoglein 3 antibody,L100–L109
L104,Skin biopsy histopathology,L100–L109
L104,Direct immunofluorescence,L100–L109
L104,Desmoglein 1 antibody,L100–L109
L104,Desmoglein 3 antibody,L100–L109
L105,Skin biopsy histopathology,L100–L109
L105,Direct immunofluorescence,L100–L109
L105,Desmoglein 1 antibody,L100–L109
L105,Desmoglein 3 antibody,L100–L109
L108,Skin biopsy histopathology,L100–L109
L108,Direct immunofluorescence,L100–L109
L108,Desmoglein 1 antibody,L100–L109
L108,Desmoglein 3 antibody,L100–L109
L109,Skin biopsy histopathology,L100–L109
L109,Direct immunofluorescence,L100–L109
L109,Desmoglein 1 antibody,L100–L109
L109,Desmoglein 3 antibody,L100–L109
L120,Skin biopsy histopathology,L120–L129
L120,Direct immunofluorescence,L120–L129
L120,BP180 antibody,L120–L129
L120,BP230 antibody,L120–L129
L121,Skin biopsy histopathology,L120–L129
L121,Direct immunofluorescence,L120–L129
L121,BP180 antibody,L120–L129
L121,BP230 antibody,L120–L129
L122,Skin biopsy histopathology,L120–L129
L122,Direct immunofluorescence,L120–L129
L122,BP180 antibody,L120–L129
L122,BP230 antibody,L120–L129
L123,Skin biopsy histopathology,L120–L129
L123,Direct immunofluorescence,L120–L129
L123,BP180 antibody,L120–L129
L123,BP230 antibody,L120–L129
L128,Skin biopsy histopathology,L120–L129
L128,Direct immunofluorescence,L120–L129
L128,BP180 antibody,L120–L129
L128,BP230 antibody,L120–L129
L129,Skin biopsy histopathology,L120–L129
L129,Direct immunofluorescence,L120–L129
L129,BP180 antibody,L120–L129
L129,BP230 antibody,L120–L129
L130,Skin biopsy direct immunofluorescence,L130
L130,Tissue transglutaminase IgA antibody,L130
L130,Endomysial IgA antibody,L130
L130,Total IgA,L130
L131,Skin biopsy histopathology,L131–L139
L131,Direct immunofluorescence,L131–L139
L138,Skin biopsy histopathology,L131–L139
L138,Direct immunofluorescence,L131–L139
L139,Skin biopsy histopathology,L131–L139
L139,Direct immunofluorescence,L131–L139
L14,Laboratory test according to underlying disease,L14
L200,Total IgE,L200–L209
L200,Allergen-specific IgE if clinically indicated,L200–L209
L208,Total IgE,L200–L209
L208,Allergen-specific IgE if clinically indicated,L200–L209
L209,Total IgE,L200–L209
L209,Allergen-specific IgE if clinically indicated,L200–L209
L210,Fungal KOH preparation if tinea/sebopsoriasis differential suspected,L210–L219
L211,Fungal KOH preparation if tinea/sebopsoriasis differential suspected,L210–L219
L218,Fungal KOH preparation if tinea/sebopsoriasis differential suspected,L210–L219
L219,Fungal KOH preparation if tinea/sebopsoriasis differential suspected,L210–L219
L22,Candida microscopy / KOH preparation if candidal diaper dermatitis suspected,L22
L230,Patch test,L230–L239
L231,Patch test,L230–L239
L232,Patch test,L230–L239
L233,Patch test,L230–L239
L234,Patch test,L230–L239
L235,Patch test,L230–L239
L236,Patch test,L230–L239
L237,Patch test,L230–L239
L238,Patch test,L230–L239
L239,Patch test,L230–L239
L240,nan,L240–L249
L241,nan,L240–L249
L242,nan,L240–L249
L243,nan,L240–L249
L244,nan,L240–L249
L245,nan,L240–L249
L246,nan,L240–L249
L247,nan,L240–L249
L248,nan,L240–L249
L249,nan,L240–L249
L250,Patch test if allergic contact dermatitis suspected,L250–L259
L251,Patch test if allergic contact dermatitis suspected,L250–L259
L252,Patch test if allergic contact dermatitis suspected,L250–L259
L253,Patch test if allergic contact dermatitis suspected,L250–L259
L254,Patch test if allergic contact dermatitis suspected,L250–L259
L255,Patch test if allergic contact dermatitis suspected,L250–L259
L258,Patch test if allergic contact dermatitis suspected,L250–L259
L259,Patch test if allergic contact dermatitis suspected,L250–L259
L26,Skin biopsy histopathology if diagnosis uncertain,L26
L270,Eosinophil count,L270–L279
L270,Liver function test if severe drug reaction suspected,L270–L279
L271,Eosinophil count,L270–L279
L271,Liver function test if severe drug reaction suspected,L270–L279
L272,Eosinophil count,L270–L279
L272,Liver function test if severe drug reaction suspected,L270–L279
L278,Eosinophil count,L270–L279
L278,Liver function test if severe drug reaction suspected,L270–L279
L279,Eosinophil count,L270–L279
L279,Liver function test if severe drug reaction suspected,L270–L279
L280,Skin biopsy histopathology if diagnosis uncertain,L280–L282
L281,Skin biopsy histopathology if diagnosis uncertain,L280–L282
L282,Skin biopsy histopathology if diagnosis uncertain,L280–L282
L290,Complete blood count,L290–L299
L290,Liver function test,L290–L299
L290,Serum creatinine,L290–L299
L290,TSH,L290–L299
L290,Free T4,L290–L299
L290,Fasting plasma glucose if generalized pruritus,L290–L299
L291,Complete blood count,L290–L299
L291,Liver function test,L290–L299
L291,Serum creatinine,L290–L299
L291,TSH,L290–L299
L291,Free T4,L290–L299
L291,Fasting plasma glucose if generalized pruritus,L290–L299
L292,Complete blood count,L290–L299
L292,Liver function test,L290–L299
L292,Serum creatinine,L290–L299
L292,TSH,L290–L299
L292,Free T4,L290–L299
L292,Fasting plasma glucose if generalized pruritus,L290–L299
L293,Complete blood count,L290–L299
L293,Liver function test,L290–L299
L293,Serum creatinine,L290–L299
L293,TSH,L290–L299
L293,Free T4,L290–L299
L293,Fasting plasma glucose if generalized pruritus,L290–L299
L298,Complete blood count,L290–L299
L298,Liver function test,L290–L299
L298,Serum creatinine,L290–L299
L298,TSH,L290–L299
L298,Free T4,L290–L299
L298,Fasting plasma glucose if generalized pruritus,L290–L299
L299,Complete blood count,L290–L299
L299,Liver function test,L290–L299
L299,Serum creatinine,L290–L299
L299,TSH,L290–L299
L299,Free T4,L290–L299
L299,Fasting plasma glucose if generalized pruritus,L290–L299
L300,Skin scraping KOH preparation if fungal infection suspected,L300–L309
L300,Skin lesion bacterial culture if infective dermatitis suspected,L300–L309
L301,Skin scraping KOH preparation if fungal infection suspected,L300–L309
L301,Skin lesion bacterial culture if infective dermatitis suspected,L300–L309
L302,Skin scraping KOH preparation if fungal infection suspected,L300–L309
L302,Skin lesion bacterial culture if infective dermatitis suspected,L300–L309
L303,Skin scraping KOH preparation if fungal infection suspected,L300–L309
L303,Skin lesion bacterial culture if infective dermatitis suspected,L300–L309
L304,Skin scraping KOH preparation if fungal infection suspected,L300–L309
L304,Skin lesion bacterial culture if infective dermatitis suspected,L300–L309
L305,Skin scraping KOH preparation if fungal infection suspected,L300–L309
L305,Skin lesion bacterial culture if infective dermatitis suspected,L300–L309
L308,Skin scraping KOH preparation if fungal infection suspected,L300–L309
L308,Skin lesion bacterial culture if infective dermatitis suspected,L300–L309
L309,Skin scraping KOH preparation if fungal infection suspected,L300–L309
L309,Skin lesion bacterial culture if infective dermatitis suspected,L300–L309
L303,Skin lesion bacterial culture,L303
L304,Fungal KOH preparation,L304
L304,Candida microscopy/culture if candidal intertrigo suspected,L304
L400,Skin biopsy histopathology if diagnosis uncertain,L400–L409
L401,Skin biopsy histopathology if diagnosis uncertain,L400–L409
L402,Skin biopsy histopathology if diagnosis uncertain,L400–L409
L403,Skin biopsy histopathology if diagnosis uncertain,L400–L409
L404,Skin biopsy histopathology if diagnosis uncertain,L400–L409
L405,Skin biopsy histopathology if diagnosis uncertain,L400–L409
L408,Skin biopsy histopathology if diagnosis uncertain,L400–L409
L409,Skin biopsy histopathology if diagnosis uncertain,L400–L409
L410,Skin biopsy histopathology,L410–L419
L411,Skin biopsy histopathology,L410–L419
L413,Skin biopsy histopathology,L410–L419
L414,Skin biopsy histopathology,L410–L419
L415,Skin biopsy histopathology,L410–L419
L418,Skin biopsy histopathology,L410–L419
L419,Skin biopsy histopathology,L410–L419
L42,nan,L42
L430,Skin biopsy histopathology,L430–L439
L431,Skin biopsy histopathology,L430–L439
L432,Skin biopsy histopathology,L430–L439
L433,Skin biopsy histopathology,L430–L439
L438,Skin biopsy histopathology,L430–L439
L439,Skin biopsy histopathology,L430–L439
L440,Skin biopsy histopathology if diagnosis uncertain,L440–L449
L441,Skin biopsy histopathology if diagnosis uncertain,L440–L449
L442,Skin biopsy histopathology if diagnosis uncertain,L440–L449
L443,Skin biopsy histopathology if diagnosis uncertain,L440–L449
L444,Skin biopsy histopathology if diagnosis uncertain,L440–L449
L448,Skin biopsy histopathology if diagnosis uncertain,L440–L449
L449,Skin biopsy histopathology if diagnosis uncertain,L440–L449
L45,Laboratory test according to underlying disease,L45
L500,Complete blood count,L500–L509
L500,ESR,L500–L509
L500,C-reactive protein,L500–L509
L500,TSH,L500–L509
L500,Free T4 if chronic urticaria,L500–L509
L501,Complete blood count,L500–L509
L501,ESR,L500–L509
L501,C-reactive protein,L500–L509
L501,TSH,L500–L509
L501,Free T4 if chronic urticaria,L500–L509
L502,Complete blood count,L500–L509
L502,ESR,L500–L509
L502,C-reactive protein,L500–L509
L502,TSH,L500–L509
L502,Free T4 if chronic urticaria,L500–L509
L503,Complete blood count,L500–L509
L503,ESR,L500–L509
L503,C-reactive protein,L500–L509
L503,TSH,L500–L509
L503,Free T4 if chronic urticaria,L500–L509
L504,Complete blood count,L500–L509
L504,ESR,L500–L509
L504,C-reactive protein,L500–L509
L504,TSH,L500–L509
L504,Free T4 if chronic urticaria,L500–L509
L505,Complete blood count,L500–L509
L505,ESR,L500–L509
L505,C-reactive protein,L500–L509
L505,TSH,L500–L509
L505,Free T4 if chronic urticaria,L500–L509
L506,Complete blood count,L500–L509
L506,ESR,L500–L509
L506,C-reactive protein,L500–L509
L506,TSH,L500–L509
L506,Free T4 if chronic urticaria,L500–L509
L508,Complete blood count,L500–L509
L508,ESR,L500–L509
L508,C-reactive protein,L500–L509
L508,TSH,L500–L509
L508,Free T4 if chronic urticaria,L500–L509
L509,Complete blood count,L500–L509
L509,ESR,L500–L509
L509,C-reactive protein,L500–L509
L509,TSH,L500–L509
L509,Free T4 if chronic urticaria,L500–L509
L510,Skin biopsy histopathology if diagnosis uncertain,L510–L519
L510,HSV DNA detection / Mycoplasma pneumoniae testing if trigger suspected,L510–L519
L511,Skin biopsy histopathology if diagnosis uncertain,L510–L519
L511,HSV DNA detection / Mycoplasma pneumoniae testing if trigger suspected,L510–L519
L512,Skin biopsy histopathology if diagnosis uncertain,L510–L519
L512,HSV DNA detection / Mycoplasma pneumoniae testing if trigger suspected,L510–L519
L518,Skin biopsy histopathology if diagnosis uncertain,L510–L519
L518,HSV DNA detection / Mycoplasma pneumoniae testing if trigger suspected,L510–L519
L519,Skin biopsy histopathology if diagnosis uncertain,L510–L519
L519,HSV DNA detection / Mycoplasma pneumoniae testing if trigger suspected,L510–L519
L52,Throat culture for Group A Streptococcus,L52
L52,Antistreptolysin O titer,L52
L52,TB IGRA,L52
L52,Stool culture if enteric trigger suspected,L52
L530,Laboratory test according to suspected underlying cause,L530–L539
L531,Laboratory test according to suspected underlying cause,L530–L539
L532,Laboratory test according to suspected underlying cause,L530–L539
L533,Laboratory test according to suspected underlying cause,L530–L539
L538,Laboratory test according to suspected underlying cause,L530–L539
L539,Laboratory test according to suspected underlying cause,L530–L539
L540,Antistreptolysin O titer,L540
L540,Anti-DNase B antibody,L540
L548,Laboratory test according to underlying disease,L548
L550,nan,L550–L559
L551,nan,L550–L559
L552,nan,L550–L559
L558,nan,L550–L559
L559,nan,L550–L559
L560,Photopatch test if photoallergic dermatitis suspected,L560–L569
L560,ANA if lupus photosensitivity suspected,L560–L569
L561,Photopatch test if photoallergic dermatitis suspected,L560–L569
L561,ANA if lupus photosensitivity suspected,L560–L569
L562,Photopatch test if photoallergic dermatitis suspected,L560–L569
L562,ANA if lupus photosensitivity suspected,L560–L569
L563,Photopatch test if photoallergic dermatitis suspected,L560–L569
L563,ANA if lupus photosensitivity suspected,L560–L569
L564,Photopatch test if photoallergic dermatitis suspected,L560–L569
L564,ANA if lupus photosensitivity suspected,L560–L569
L568,Photopatch test if photoallergic dermatitis suspected,L560–L569
L568,ANA if lupus photosensitivity suspected,L560–L569
L569,Photopatch test if photoallergic dermatitis suspected,L560–L569
L569,ANA if lupus photosensitivity suspected,L560–L569
L570,Skin biopsy histopathology if malignancy/dysplasia suspected,L570–L579
L571,Skin biopsy histopathology if malignancy/dysplasia suspected,L570–L579
L572,Skin biopsy histopathology if malignancy/dysplasia suspected,L570–L579
L573,Skin biopsy histopathology if malignancy/dysplasia suspected,L570–L579
L574,Skin biopsy histopathology if malignancy/dysplasia suspected,L570–L579
L575,Skin biopsy histopathology if malignancy/dysplasia suspected,L570–L579
L578,Skin biopsy histopathology if malignancy/dysplasia suspected,L570–L579
L579,Skin biopsy histopathology if malignancy/dysplasia suspected,L570–L579
L580,Skin biopsy histopathology if diagnosis uncertain,L580–L599
L581,Skin biopsy histopathology if diagnosis uncertain,L580–L599
L589,Skin biopsy histopathology if diagnosis uncertain,L580–L599
L590,Skin biopsy histopathology if diagnosis uncertain,L580–L599
L598,Skin biopsy histopathology if diagnosis uncertain,L580–L599
L599,Skin biopsy histopathology if diagnosis uncertain,L580–L599
L600,Nail KOH preparation,L600–L609
L600,Fungal culture from nail clipping if onychomycosis suspected,L600–L609
L601,Nail KOH preparation,L600–L609
L601,Fungal culture from nail clipping if onychomycosis suspected,L600–L609
L602,Nail KOH preparation,L600–L609
L602,Fungal culture from nail clipping if onychomycosis suspected,L600–L609
L603,Nail KOH preparation,L600–L609
L603,Fungal culture from nail clipping if onychomycosis suspected,L600–L609
L604,Nail KOH preparation,L600–L609
L604,Fungal culture from nail clipping if onychomycosis suspected,L600–L609
L605,Nail KOH preparation,L600–L609
L605,Fungal culture from nail clipping if onychomycosis suspected,L600–L609
L608,Nail KOH preparation,L600–L609
L608,Fungal culture from nail clipping if onychomycosis suspected,L600–L609
L609,Nail KOH preparation,L600–L609
L609,Fungal culture from nail clipping if onychomycosis suspected,L600–L609
L620,Laboratory test according to underlying disease,L620–L628
L628,Laboratory test according to underlying disease,L620–L628
L630,TSH,L630–L639
L630,Free T4,L630–L639
L630,Thyroid peroxidase antibody if autoimmune thyroid disease suspected,L630–L639
L631,TSH,L630–L639
L631,Free T4,L630–L639
L631,Thyroid peroxidase antibody if autoimmune thyroid disease suspected,L630–L639
L632,TSH,L630–L639
L632,Free T4,L630–L639
L632,Thyroid peroxidase antibody if autoimmune thyroid disease suspected,L630–L639
L638,TSH,L630–L639
L638,Free T4,L630–L639
L638,Thyroid peroxidase antibody if autoimmune thyroid disease suspected,L630–L639
L639,TSH,L630–L639
L639,Free T4,L630–L639
L639,Thyroid peroxidase antibody if autoimmune thyroid disease suspected,L630–L639
L640,Total testosterone,L640–L649
L640,Free testosterone,L640–L649
L640,DHEA-S if hyperandrogenism suspected,L640–L649
L648,Total testosterone,L640–L649
L648,Free testosterone,L640–L649
L648,DHEA-S if hyperandrogenism suspected,L640–L649
L649,Total testosterone,L640–L649
L649,Free testosterone,L640–L649
L649,DHEA-S if hyperandrogenism suspected,L640–L649
L650,Complete blood count,L650–L659
L650,Ferritin,L650–L659
L650,TSH,L650–L659
L650,Free T4,L650–L659
L650,25-hydroxyvitamin D,L650–L659
L651,Complete blood count,L650–L659
L651,Ferritin,L650–L659
L651,TSH,L650–L659
L651,Free T4,L650–L659
L651,25-hydroxyvitamin D,L650–L659
L652,Complete blood count,L650–L659
L652,Ferritin,L650–L659
L652,TSH,L650–L659
L652,Free T4,L650–L659
L652,25-hydroxyvitamin D,L650–L659
L658,Complete blood count,L650–L659
L658,Ferritin,L650–L659
L658,TSH,L650–L659
L658,Free T4,L650–L659
L658,25-hydroxyvitamin D,L650–L659
L659,Complete blood count,L650–L659
L659,Ferritin,L650–L659
L659,TSH,L650–L659
L659,Free T4,L650–L659
L659,25-hydroxyvitamin D,L650–L659
L660,Scalp biopsy histopathology,L660–L669
L660,Bacterial culture if folliculitis decalvans suspected,L660–L669
L661,Scalp biopsy histopathology,L660–L669
L661,Bacterial culture if folliculitis decalvans suspected,L660–L669
L662,Scalp biopsy histopathology,L660–L669
L662,Bacterial culture if folliculitis decalvans suspected,L660–L669
L663,Scalp biopsy histopathology,L660–L669
L663,Bacterial culture if folliculitis decalvans suspected,L660–L669
L664,Scalp biopsy histopathology,L660–L669
L664,Bacterial culture if folliculitis decalvans suspected,L660–L669
L668,Scalp biopsy histopathology,L660–L669
L668,Bacterial culture if folliculitis decalvans suspected,L660–L669
L669,Scalp biopsy histopathology,L660–L669
L669,Bacterial culture if folliculitis decalvans suspected,L660–L669
L670,Hair shaft microscopy,L670–L679
L671,Hair shaft microscopy,L670–L679
L678,Hair shaft microscopy,L670–L679
L679,Hair shaft microscopy,L670–L679
L680,Total testosterone,L680–L689
L680,Free testosterone,L680–L689
L680,DHEA-S,L680–L689
L680,17-hydroxyprogesterone,L680–L689
L680,Prolactin,L680–L689
L680,TSH,L680–L689
L681,Total testosterone,L680–L689
L681,Free testosterone,L680–L689
L681,DHEA-S,L680–L689
L681,17-hydroxyprogesterone,L680–L689
L681,Prolactin,L680–L689
L681,TSH,L680–L689
L682,Total testosterone,L680–L689
L682,Free testosterone,L680–L689
L682,DHEA-S,L680–L689
L682,17-hydroxyprogesterone,L680–L689
L682,Prolactin,L680–L689
L682,TSH,L680–L689
L683,Total testosterone,L680–L689
L683,Free testosterone,L680–L689
L683,DHEA-S,L680–L689
L683,17-hydroxyprogesterone,L680–L689
L683,Prolactin,L680–L689
L683,TSH,L680–L689
L688,Total testosterone,L680–L689
L688,Free testosterone,L680–L689
L688,DHEA-S,L680–L689
L688,17-hydroxyprogesterone,L680–L689
L688,Prolactin,L680–L689
L688,TSH,L680–L689
L689,Total testosterone,L680–L689
L689,Free testosterone,L680–L689
L689,DHEA-S,L680–L689
L689,17-hydroxyprogesterone,L680–L689
L689,Prolactin,L680–L689
L689,TSH,L680–L689
L700,Total testosterone,L700–L709
L700,Free testosterone,L700–L709
L700,DHEA-S if hyperandrogenism suspected,L700–L709
L701,Total testosterone,L700–L709
L701,Free testosterone,L700–L709
L701,DHEA-S if hyperandrogenism suspected,L700–L709
L702,Total testosterone,L700–L709
L702,Free testosterone,L700–L709
L702,DHEA-S if hyperandrogenism suspected,L700–L709
L703,Total testosterone,L700–L709
L703,Free testosterone,L700–L709
L703,DHEA-S if hyperandrogenism suspected,L700–L709
L704,Total testosterone,L700–L709
L704,Free testosterone,L700–L709
L704,DHEA-S if hyperandrogenism suspected,L700–L709
L705,Total testosterone,L700–L709
L705,Free testosterone,L700–L709
L705,DHEA-S if hyperandrogenism suspected,L700–L709
L708,Total testosterone,L700–L709
L708,Free testosterone,L700–L709
L708,DHEA-S if hyperandrogenism suspected,L700–L709
L709,Total testosterone,L700–L709
L709,Free testosterone,L700–L709
L709,DHEA-S if hyperandrogenism suspected,L700–L709
L710,Skin scraping microscopy if Demodex suspected,L710–L719
L711,Skin scraping microscopy if Demodex suspected,L710–L719
L718,Skin scraping microscopy if Demodex suspected,L710–L719
L719,Skin scraping microscopy if Demodex suspected,L710–L719
L720,"Histopathology, cyst tissue if excised",L720–L729
L721,"Histopathology, cyst tissue if excised",L720–L729
L722,"Histopathology, cyst tissue if excised",L720–L729
L728,"Histopathology, cyst tissue if excised",L720–L729
L729,"Histopathology, cyst tissue if excised",L720–L729
L730,Skin lesion bacterial culture if folliculitis/hidradenitis infection suspected,L730–L739
L731,Skin lesion bacterial culture if folliculitis/hidradenitis infection suspected,L730–L739
L732,Skin lesion bacterial culture if folliculitis/hidradenitis infection suspected,L730–L739
L738,Skin lesion bacterial culture if folliculitis/hidradenitis infection suspected,L730–L739
L739,Skin lesion bacterial culture if folliculitis/hidradenitis infection suspected,L730–L739
L740,nan,L740–L759
L741,nan,L740–L759
L742,nan,L740–L759
L743,nan,L740–L759
L744,nan,L740–L759
L748,nan,L740–L759
L749,nan,L740–L759
L750,nan,L740–L759
L751,nan,L740–L759
L752,nan,L740–L759
L758,nan,L740–L759
L759,nan,L740–L759
L80,TSH,L80
L80,Free T4,L80
L80,Thyroid peroxidase antibody if autoimmune thyroid disease suspected,L80
L810,Skin biopsy histopathology if diagnosis uncertain,L810–L819
L811,Skin biopsy histopathology if diagnosis uncertain,L810–L819
L812,Skin biopsy histopathology if diagnosis uncertain,L810–L819
L813,Skin biopsy histopathology if diagnosis uncertain,L810–L819
L814,Skin biopsy histopathology if diagnosis uncertain,L810–L819
L815,Skin biopsy histopathology if diagnosis uncertain,L810–L819
L816,Skin biopsy histopathology if diagnosis uncertain,L810–L819
L817,Skin biopsy histopathology if diagnosis uncertain,L810–L819
L818,Skin biopsy histopathology if diagnosis uncertain,L810–L819
L819,Skin biopsy histopathology if diagnosis uncertain,L810–L819
L82,Skin biopsy histopathology if malignancy differential suspected,L82
L83,Fasting plasma glucose,L83
L83,Hemoglobin A1c,L83
L84,nan,L84
L850,TSH,L850
L850,Free T4,L850
L850,HIV Ag/Ab if acquired ichthyosis suspected,L850
L851,nan,L851–L859
L852,nan,L851–L859
L853,nan,L851–L859
L858,nan,L851–L859
L859,nan,L851–L859
L86,Laboratory test according to underlying disease,L86
L870,Skin biopsy histopathology,L870–L879
L871,Skin biopsy histopathology,L870–L879
L872,Skin biopsy histopathology,L870–L879
L878,Skin biopsy histopathology,L870–L879
L879,Skin biopsy histopathology,L870–L879
L88,Skin biopsy histopathology,L88
L88,Wound bacterial culture if secondary infection suspected,L88
L890,Wound swab/tissue bacterial culture if infected pressure ulcer suspected,L890–L899
L891,Wound swab/tissue bacterial culture if infected pressure ulcer suspected,L890–L899
L892,Wound swab/tissue bacterial culture if infected pressure ulcer suspected,L890–L899
L893,Wound swab/tissue bacterial culture if infected pressure ulcer suspected,L890–L899
L899,Wound swab/tissue bacterial culture if infected pressure ulcer suspected,L890–L899
L900,Skin biopsy histopathology if diagnosis uncertain,L900
L901,Skin biopsy histopathology if diagnosis uncertain,L901–L909
L902,Skin biopsy histopathology if diagnosis uncertain,L901–L909
L903,Skin biopsy histopathology if diagnosis uncertain,L901–L909
L904,Skin biopsy histopathology if diagnosis uncertain,L901–L909
L905,Skin biopsy histopathology if diagnosis uncertain,L901–L909
L906,Skin biopsy histopathology if diagnosis uncertain,L901–L909
L908,Skin biopsy histopathology if diagnosis uncertain,L901–L909
L909,Skin biopsy histopathology if diagnosis uncertain,L901–L909
L910,nan,L910–L919
L918,nan,L910–L919
L919,nan,L910–L919
L920,Skin biopsy histopathology,L920–L929
L921,Skin biopsy histopathology,L920–L929
L922,Skin biopsy histopathology,L920–L929
L923,Skin biopsy histopathology,L920–L929
L928,Skin biopsy histopathology,L920–L929
L929,Skin biopsy histopathology,L920–L929
L930,ANA,L930–L932
L930,Anti-dsDNA antibody,L930–L932
L930,ENA panel,L930–L932
L930,Complement C3,L930–L932
L930,Complement C4,L930–L932
L930,Skin biopsy histopathology,L930–L932
L930,Direct immunofluorescence,L930–L932
L931,ANA,L930–L932
L931,Anti-dsDNA antibody,L930–L932
L931,ENA panel,L930–L932
L931,Complement C3,L930–L932
L931,Complement C4,L930–L932
L931,Skin biopsy histopathology,L930–L932
L931,Direct immunofluorescence,L930–L932
L932,ANA,L930–L932
L932,Anti-dsDNA antibody,L930–L932
L932,ENA panel,L930–L932
L932,Complement C3,L930–L932
L932,Complement C4,L930–L932
L932,Skin biopsy histopathology,L930–L932
L932,Direct immunofluorescence,L930–L932
L940,ANA,L940–L949
L940,ENA panel,L940–L949
L940,Anti-centromere antibody,L940–L949
L940,Anti-Scl-70 antibody,L940–L949
L940,Skin biopsy histopathology,L940–L949
L941,ANA,L940–L949
L941,ENA panel,L940–L949
L941,Anti-centromere antibody,L940–L949
L941,Anti-Scl-70 antibody,L940–L949
L941,Skin biopsy histopathology,L940–L949
L942,ANA,L940–L949
L942,ENA panel,L940–L949
L942,Anti-centromere antibody,L940–L949
L942,Anti-Scl-70 antibody,L940–L949
L942,Skin biopsy histopathology,L940–L949
L943,ANA,L940–L949
L943,ENA panel,L940–L949
L943,Anti-centromere antibody,L940–L949
L943,Anti-Scl-70 antibody,L940–L949
L943,Skin biopsy histopathology,L940–L949
L944,ANA,L940–L949
L944,ENA panel,L940–L949
L944,Anti-centromere antibody,L940–L949
L944,Anti-Scl-70 antibody,L940–L949
L944,Skin biopsy histopathology,L940–L949
L945,ANA,L940–L949
L945,ENA panel,L940–L949
L945,Anti-centromere antibody,L940–L949
L945,Anti-Scl-70 antibody,L940–L949
L945,Skin biopsy histopathology,L940–L949
L946,ANA,L940–L949
L946,ENA panel,L940–L949
L946,Anti-centromere antibody,L940–L949
L946,Anti-Scl-70 antibody,L940–L949
L946,Skin biopsy histopathology,L940–L949
L948,ANA,L940–L949
L948,ENA panel,L940–L949
L948,Anti-centromere antibody,L940–L949
L948,Anti-Scl-70 antibody,L940–L949
L948,Skin biopsy histopathology,L940–L949
L949,ANA,L940–L949
L949,ENA panel,L940–L949
L949,Anti-centromere antibody,L940–L949
L949,Anti-Scl-70 antibody,L940–L949
L949,Skin biopsy histopathology,L940–L949
L950,Skin biopsy histopathology,L950–L959
L950,Direct immunofluorescence,L950–L959
L950,ANA,L950–L959
L950,ANCA,L950–L959
L950,Complement C3,L950–L959
L950,Complement C4,L950–L959
L950,Cryoglobulin test,L950–L959
L950,Hepatitis B surface antigen,L950–L959
L950,Anti-HCV antibody,L950–L959
L951,Skin biopsy histopathology,L950–L959
L951,Direct immunofluorescence,L950–L959
L951,ANA,L950–L959
L951,ANCA,L950–L959
L951,Complement C3,L950–L959
L951,Complement C4,L950–L959
L951,Cryoglobulin test,L950–L959
L951,Hepatitis B surface antigen,L950–L959
L951,Anti-HCV antibody,L950–L959
L958,Skin biopsy histopathology,L950–L959
L958,Direct immunofluorescence,L950–L959
L958,ANA,L950–L959
L958,ANCA,L950–L959
L958,Complement C3,L950–L959
L958,Complement C4,L950–L959
L958,Cryoglobulin test,L950–L959
L958,Hepatitis B surface antigen,L950–L959
L958,Anti-HCV antibody,L950–L959
L959,Skin biopsy histopathology,L950–L959
L959,Direct immunofluorescence,L950–L959
L959,ANA,L950–L959
L959,ANCA,L950–L959
L959,Complement C3,L950–L959
L959,Complement C4,L950–L959
L959,Cryoglobulin test,L950–L959
L959,Hepatitis B surface antigen,L950–L959
L959,Anti-HCV antibody,L950–L959
L97,Wound swab/tissue bacterial culture if infected ulcer suspected,L97
L97,Hemoglobin A1c,L97
L980,Skin biopsy histopathology,L980
L982,Complete blood count,L982
L982,Neutrophil count,L982
L982,Skin biopsy histopathology,L982
L983,Eosinophil count,L983
L983,Skin biopsy histopathology,L983
L984,Wound swab/tissue bacterial culture if infected ulcer suspected,L984
L984,Hemoglobin A1c,L984
L985,Skin biopsy histopathology if diagnosis uncertain,L985–L989
L986,Skin biopsy histopathology if diagnosis uncertain,L985–L989
L987,Skin biopsy histopathology if diagnosis uncertain,L985–L989
L988,Skin biopsy histopathology if diagnosis uncertain,L985–L989
L989,Skin biopsy histopathology if diagnosis uncertain,L985–L989
L990,Skin biopsy with Congo red stain,L990
L998,Laboratory test according to underlying disease,L998
N000,Urinalysis,N000–N009
N000,Urine protein-to-creatinine ratio,N000–N009
N000,Serum creatinine,N000–N009
N000,eGFR,N000–N009
N000,Complement C3,N000–N009
N000,Complement C4,N000–N009
N000,Antistreptolysin O titer,N000–N009
